time_index,wind_0_MW,wind_0_N,wind_0_NE,wind_0_S,wind_0_SE,wind_1_MW,wind_1_N,wind_1_NE,wind_1_S,wind_1_SE,wind_2_MW,wind_2_N,wind_2_NE,wind_2_SE,solar_pv_0_MW,solar_pv_0_N,solar_pv_0_NE,solar_pv_0_SE,solar_pv_1_MW,solar_pv_1_N,solar_pv_1_NE,solar_pv_1_S,solar_pv_1_SE,solar_pv_2_MW,solar_pv_2_N,solar_pv_2_NE,solar_pv_2_S,solar_pv_2_SE
1894,0.02391103,0.012875048,0.13527759,0.311943721,0.063974899,0.025585585,0.018882298,0.026013743,0.206830614,0.068738673,0.011005157,0.027586975,0.01881878,0.006911801,0.105954786,0.150863501,0,0,0.067850867,0.020637987,0,0.008386974,0,0.102595986,0.026339948,0,0.000287104,0
1895,0.027995479,0.015600088,0.163919722,0.275544409,0.074498439,0.031705876,0.016658945,0.042368036,0.183170949,0.051683838,0.016008838,0.026160916,0.017808152,0.018299793,0,5.68E-07,0,0,0,0,0,0,0,0,0,0,0,0
1896,0.027001848,0.017572127,0.164762672,0.287868061,0.077862647,0.030977232,0.032154879,0.048178665,0.170686934,0.068932316,0.016014913,0.043803812,0.015031461,0.022028986,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1897,0.030004365,0.021245061,0.151544805,0.29423183,0.077544205,0.026191288,0.034668497,0.056329538,0.173196005,0.081347306,0.016641112,0.05547781,0.01841244,0.02989234,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1898,0.035711479,0.02215673,0.134299587,0.285566873,0.078794408,0.022525837,0.032310297,0.060731223,0.166532347,0.089921183,0.019654476,0.062060557,0.015897766,0.029882402,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1899,0.04151164,0.023362334,0.120752956,0.264783873,0.081582895,0.025074998,0.038196691,0.061859825,0.155801319,0.098404034,0.017828824,0.06444013,0.01528279,0.012853002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900,0.041692426,0.018697688,0.102346245,0.225461761,0.082973829,0.025496439,0.051607252,0.056148233,0.153200802,0.105595567,0.01751897,0.060844802,0.01018913,0.00942029,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1901,0.038166808,0.019104545,0.083826854,0.196260867,0.076719545,0.031322861,0.043063627,0.045715651,0.152329438,0.108488132,0.020102722,0.054490928,0.004872645,0.018396687,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1902,0.035804709,0.028048863,0.070953142,0.168516283,0.073973962,0.036587501,0.038646213,0.038541947,0.143012949,0.104604667,0.022599937,0.049848468,0.00214378,0.019435197,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1903,0.034112417,0.024977883,0.058767524,0.147965681,0.073060214,0.036348937,0.04466006,0.032496467,0.132465454,0.095350527,0.024614739,0.048629905,0.001362742,0.013409524,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1904,0.033116429,0.023421595,0.053720021,0.130157801,0.072371533,0.036180182,0.045696309,0.032363965,0.115740446,0.086302458,0.02653211,0.050412026,0.001168599,0.010915114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1905,0.03434389,0.012938097,0.048290571,0.120683661,0.074053843,0.036486109,0.038913161,0.029274303,0.107761663,0.076382832,0.024842082,0.05124683,0.002928563,0.013733333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1906,0.034833355,0.005607268,0.045412401,0.115183914,0.07756558,0.033692906,0.041139529,0.030888352,0.098104665,0.069677905,0.020331731,0.051828195,0.003446135,0.012771843,0,0.005348519,0.258243333,0.012305,0.001164667,0.00682869,0.252256282,0,0.06852477,0.000199379,0.004034377,0.32811581,8.41E-06,0.125441358
1907,0.05439747,0.00488274,0.050153366,0.09477355,0.045354543,0.038554614,0.047942334,0.024710656,0.086892352,0.037409738,0.034147445,0.048150963,0.002151208,0.014669979,0.214002533,0.175082371,0.483545,0.46359,0.185755202,0.140005535,0.463315103,0.138933128,0.205405782,0.194846908,0.181784776,0.49680924,0.112011203,0.297416547
1908,0.047809933,0.009105235,0.083734524,0.1304884,0.052514922,0.036555948,0.05529611,0.051282853,0.114937809,0.046429906,0.022474457,0.046430861,0.008975423,0.006720497,0.354055331,0.404431442,0.5999725,0.653375,0.311949452,0.288067469,0.577907022,0.26225859,0.325589503,0.313622606,0.367436223,0.626411254,0.216265129,0.391568036
1909,0.050866431,0.016162659,0.097674059,0.169307549,0.076118953,0.037437852,0.082711365,0.058048745,0.148984908,0.065718612,0.016680434,0.055432958,0.043067089,0.022671636,0.481585786,0.544496131,0.673933333,0.647735,0.416084337,0.455412348,0.630994619,0.429506013,0.419499673,0.39349523,0.510145262,0.663208146,0.362586544,0.425619873
1910,0.046879322,0.026451927,0.104714863,0.206254696,0.085498344,0.028722308,0.09217998,0.057654745,0.182553062,0.069344713,0.0120523,0.0932048,0.065220713,0.058607039,0.574830383,0.621744509,0.5687125,0.663095,0.487156887,0.487972993,0.680553169,0.466048,0.486782418,0.448708581,0.589836142,0.686025831,0.513944928,0.449211024
