Type,id,location,edges--edge--constraints--MaxCapacityConstraint,edges--edge--constraints--CapacityConstraint,edges--edge--can_retire,edges--edge--unidirectional,edges--edge--commodity,edges--edge--can_expand,edges--edge--has_capacity,transforms--timedata,edges--edge--lifetime,edges--edge--wacc,edges--edge--capital_recovery_period,edges--edge--max_capacity,edges--edge--fixed_om_cost,edges--edge--variable_om_cost,edges--edge--investment_cost,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--header,edges--edge--end_vertex,edges--edge--existing_capacity,edges--edge--capacity_size,Note
VRE,BR_PB_Solar_Class1,BR_PB,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,733683.953,13856.0822,0,735249.0435,system/availability_solar_2025.csv,BR_PB_Solar_Class1,elec_BR_PB,559.3756,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_PE_Solar_Class0,BR_PE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,1001196.893,13856.0822,0,840139.1436,system/availability_solar_2025.csv,BR_PE_Solar_Class0,elec_BR_PE,1275.77818,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_PE_Solar_Class1,BR_PE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,750776.602,13856.0822,0,735249.0435,system/availability_solar_2025.csv,BR_PE_Solar_Class1,elec_BR_PE,164.049,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_PE_Solar_Class3,BR_PE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,322371.064,13856.0822,0,967432.9541,system/availability_solar_2025.csv,BR_PE_Solar_Class3,elec_BR_PE,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_PI_Solar_Class0,BR_PI,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,4462156.059,13856.0822,0,840139.1436,system/availability_solar_2025.csv,BR_PI_Solar_Class0,elec_BR_PI,2417.755,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_PI_Solar_Class1,BR_PI,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,1610351.686,13856.0822,0,735249.0435,system/availability_solar_2025.csv,BR_PI_Solar_Class1,elec_BR_PI,421,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_PR_Solar_Class0,BR_PR,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,188733.8,13856.0822,0,840139.1436,system/availability_solar_2025.csv,BR_PR_Solar_Class0,elec_BR_PR,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_PR_Solar_Class1,BR_PR,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,141786.353,13856.0822,0,735249.0435,system/availability_solar_2025.csv,BR_PR_Solar_Class1,elec_BR_PR,0.558,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_PR_Solar_Class3,BR_PR,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,1259182.487,13856.0822,0,967432.9541,system/availability_solar_2025.csv,BR_PR_Solar_Class3,elec_BR_PR,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_RJ_Solar_Class1,BR_RJ,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,14443.59,13856.0822,0,735249.0435,system/availability_solar_2025.csv,BR_RJ_Solar_Class1,elec_BR_RJ,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
