time_index,wind_0_MW,wind_0_N,wind_0_NE,wind_0_S,wind_0_SE,wind_1_MW,wind_1_N,wind_1_NE,wind_1_S,wind_1_SE,wind_2_MW,wind_2_N,wind_2_NE,wind_2_SE,solar_pv_0_MW,solar_pv_0_N,solar_pv_0_NE,solar_pv_0_SE,solar_pv_1_MW,solar_pv_1_N,solar_pv_1_NE,solar_pv_1_S,solar_pv_1_SE,solar_pv_2_MW,solar_pv_2_N,solar_pv_2_NE,solar_pv_2_S,solar_pv_2_SE
59,0.033748071,0.027530581,0.091738349,0.130710934,0.114407154,0.04189393,0.030349363,0.065434319,0.255168213,0.115617603,0.012153359,0.038713154,0.013385568,0.146262526,0.49735813,0.200691828,0.3463475,0.61376,0.456975123,0.24976294,0.413045296,0.678800705,0.621598606,0.529949572,0.27331806,0.361087271,0.416435965,0.536982178
60,0.021865872,0.025794538,0.114907429,0.116500998,0.109638702,0.039795909,0.028724227,0.08699243,0.21313411,0.114512255,0.006168969,0.032240437,0.014271437,0.103356522,0.632249436,0.326312645,0.396969167,0.60561,0.559606855,0.411255037,0.520961431,0.798079756,0.749961303,0.665568412,0.408797512,0.465793376,0.502559341,0.642256159
61,0.028670558,0.030544691,0.123723152,0.109268024,0.109715866,0.035466488,0.038900241,0.09014092,0.177442211,0.097228483,0.010281732,0.02587324,0.016861896,0.115839337,0.698049073,0.408233711,0.481505,0.803195,0.621468927,0.506073894,0.579564589,0.868820167,0.820997303,0.736492326,0.453305792,0.511966526,0.587999578,0.664999054
62,0.024326313,0.029587252,0.125886912,0.09338739,0.098157266,0.023242559,0.042022402,0.075614212,0.133142284,0.07144484,0.009764991,0.028297916,0.019104046,0.09675528,0.735159417,0.475232499,0.5564875,0.879605,0.685655273,0.46781707,0.620958948,0.885714628,0.831888739,0.752898801,0.52793553,0.552984023,0.628274923,0.699482074
63,0.016296884,0.028810982,0.124257432,0.092634955,0.085068396,0.015861543,0.039472112,0.063730026,0.101817023,0.054855298,0.006081866,0.029113488,0.032451208,0.065503934,0.735963189,0.523637909,0.670078333,0.880275,0.727803976,0.592976583,0.654081382,0.863032385,0.821418206,0.76395841,0.547891049,0.601108054,0.619781093,0.725266195
64,0.008021408,0.02915264,0.123780892,0.086943389,0.07848251,0.009893682,0.03132905,0.05219852,0.071305223,0.038187493,0.00284691,0.030141458,0.033861594,0.034198758,0.71306817,0.521556012,0.698763333,0.913905,0.716646042,0.554818412,0.664281211,0.726561974,0.782558394,0.753920188,0.600029131,0.639208361,0.592355448,0.68933022
65,0.002889616,0.033941033,0.122636943,0.089170094,0.079412986,0.005025943,0.021817872,0.048028443,0.054013778,0.029280399,0.001008069,0.027475619,0.023227234,0.014891925,0.697518373,0.552438348,0.662411667,0.87298,0.704574653,0.576444727,0.60156665,0.73921791,0.724549624,0.729062158,0.535123405,0.576389461,0.568683153,0.65431616
66,0.000848367,0.037810517,0.124762677,0.10000743,0.099224954,0.001923483,0.018099044,0.046538966,0.046432991,0.030183196,0.00074087,0.027960081,0.020649457,0.012371014,0.721386471,0.509081311,0.619554167,0.828595,0.721641004,0.481912647,0.52800916,0.762097256,0.702183485,0.73883477,0.516670352,0.530755773,0.518572478,0.636770528
67,0.001111423,0.046521357,0.136768102,0.117496177,0.128397622,0.002032669,0.015036355,0.047454107,0.049267601,0.037691474,0.000832271,0.023577482,0.027776691,0.012371843,0.699576029,0.490825816,0.536900833,0.825295,0.668811429,0.471428375,0.371426758,0.660064987,0.635898521,0.693809807,0.529496632,0.420229799,0.4383948,0.590352827
68,0.003083054,0.053869976,0.15167334,0.140161067,0.173942683,0.004994028,0.021324978,0.056655543,0.062011223,0.052829248,0.002958241,0.021250075,0.038309964,0.015277847,0.624227052,0.415516903,0.465209167,0.66122,0.615198459,0.394824004,0.249970681,0.6568335,0.500341345,0.633642003,0.428693093,0.305925998,0.444822738,0.450680113
