time_index,BR_AC_rooftop_pv,BR_AL_rooftop_pv,BR_AM_rooftop_pv,BR_AP_rooftop_pv,BR_BA_rooftop_pv,BR_CE_rooftop_pv,BR_ES_rooftop_pv,BR_GO_rooftop_pv,BR_DF_rooftop_pv,BR_MA_rooftop_pv,BR_MG_rooftop_pv,BR_MS_rooftop_pv,BR_MT_rooftop_pv,BR_PA_rooftop_pv,BR_PB_rooftop_pv,BR_PE_rooftop_pv,BR_PI_rooftop_pv,BR_PR_rooftop_pv,BR_RJ_rooftop_pv,BR_RN_rooftop_pv,BR_RO_rooftop_pv,BR_RR_rooftop_pv,BR_RS_rooftop_pv,BR_SC_rooftop_pv,BR_SE_rooftop_pv,BR_SP_rooftop_pv,BR_TO_rooftop_pv
63,0.413722381,0.47206,0.414275806,0.449832368,0.509946912,0.339291399,0.6644,0.625151838,0.625151838,0.421493309,0.561944403,0.687879291,0.670192522,0.466879937,0.486033333,0.402145833,0.386540677,0.484419214,0.3329825,0.443852667,0.501142153,0.557100179,0.693727758,0.461964638,0.537923333,0.528605782,0.507204455
64,0.380304286,0.333115,0.401545484,0.392613684,0.35614929,0.22155003,0.516972308,0.493417833,0.493417833,0.326757297,0.437539868,0.569438734,0.570400427,0.384974645,0.2463,0.285058667,0.259810994,0.338999879,0.2669525,0.230876667,0.508078621,0.440743571,0.606569825,0.352832754,0.381558333,0.406335587,0.440468465
65,0.416295714,0.16642,0.30169129,0.241988684,0.194983161,0.105094048,0.274113077,0.328544845,0.328544845,0.179446182,0.247967232,0.423474344,0.420653471,0.243322391,0.105720667,0.117448167,0.131101814,0.284912423,0.155299167,0.108660667,0.369951217,0.304340536,0.48811103,0.263009058,0.181266667,0.261104466,0.274832035
66,0.188568571,0.008093333,0.177661398,0.074323947,0.044941068,0.010876012,0.07268,0.136238832,0.136238832,0.047722239,0.092373826,0.209392772,0.229557784,0.104279615,0.006544667,0.009279,0.031025486,0.163290742,0.050734167,0.004456,0.229022513,0.166497143,0.310168197,0.159628261,0.013246667,0.11996845,0.097299832
67,0.107248571,0,0.045773441,0.000664474,1.47E-05,0,0,0.010054976,0.010054976,0,0.002765362,0.055867364,0.050100302,0.008098511,0,0,0,0.040839738,0.000213333,0,0.080697853,0.0335025,0.10968757,0.040688986,0,0.01780513,0.002142529
68,0.015544286,0,0.00018,0,0,0,0,0,0,0,0,3.48E-05,3.42E-05,0,0,0,0,0,0,0,0.002443809,0,0.001587944,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0.006176667,0,0,0.002454724,0.000196875,0.008919231,0,0,0,0.001381696,0,0,0,0.002526,0.002706667,0,0,0.00508,0.005367333,0,0,1.52E-05,0.000271667,0.003266667,1.67E-06,0
79,0,0.093018333,0,0.000138947,0.105566766,0.068227649,0.169421538,0.039057072,0.039057072,0.036523575,0.102172857,0.017185377,0.004671091,0.00239506,0.067818667,0.0849485,0.072849879,0.045298363,0.080245833,0.110006,0,0,0.069892397,0.067386449,0.081696667,0.057055783,0.033763319
80,0.002877619,0.259458333,0.017312796,0.071095,0.305428481,0.221724792,0.37139,0.230320595,0.230320595,0.198467007,0.306486615,0.177482959,0.118897393,0.083048373,0.250265333,0.237991167,0.273991802,0.220887903,0.228598333,0.305776,0.030625993,0.009085893,0.265290383,0.203766449,0.217266667,0.226614493,0.227927761
81,0.066012857,0.384886667,0.128204409,0.247268684,0.491448742,0.362019345,0.591099231,0.436740243,0.436740243,0.366196661,0.505416094,0.38217447,0.301478977,0.234837612,0.390729333,0.369108167,0.465772645,0.397017001,0.349545,0.40775,0.172076714,0.159735714,0.477363441,0.348906667,0.380185,0.408924202,0.439332823
82,0.15312,0.605968333,0.232394516,0.416126842,0.635497933,0.489760744,0.730426154,0.614715535,0.614715535,0.483259424,0.683111672,0.547106341,0.477794124,0.365226899,0.508702667,0.501614333,0.594437145,0.52389032,0.4849225,0.551452667,0.334705878,0.360214286,0.653308278,0.402902899,0.58204,0.564155665,0.606333113
83,0.293463333,0.636898333,0.313839355,0.558999737,0.739120262,0.524608036,0.788247692,0.700519641,0.700519641,0.563555078,0.774507996,0.674209665,0.618679338,0.450702255,0.546902667,0.560251333,0.670101935,0.608250665,0.574563333,0.551961333,0.462800261,0.510514286,0.778585747,0.482403986,0.646856667,0.681490443,0.696627345
84,0.400821429,0.733351667,0.387099677,0.604079211,0.774019331,0.572771756,0.815613077,0.729769715,0.729769715,0.603973418,0.814951842,0.764058241,0.679032691,0.506531896,0.571121333,0.639497667,0.743976268,0.654019962,0.649825,0.662928667,0.544076682,0.636724464,0.860932171,0.522316304,0.703288333,0.747295234,0.699631229
85,0.513160952,0.656225,0.429773763,0.637327105,0.749139932,0.5444125,0.73778,0.68924498,0.68924498,0.550462459,0.785096756,0.813703008,0.719601953,0.52890368,0.525178667,0.5796905,0.699275623,0.642472315,0.619233333,0.637958,0.615316573,0.635631607,0.873044687,0.480722971,0.636938333,0.773801922,0.650733523
86,0.563910952,0.573591667,0.447777419,0.613406842,0.649440189,0.52780006,0.699132308,0.645946318,0.645946318,0.495429692,0.723417764,0.749200436,0.703171887,0.485170027,0.479337333,0.540155667,0.614423555,0.651776675,0.534446667,0.593003333,0.540866635,0.630337679,0.819299508,0.493152971,0.58239,0.737415756,0.572813213
87,0.521011905,0.443948333,0.467593978,0.559956579,0.537225169,0.43154253,0.52787,0.545617805,0.545617805,0.440953248,0.589685107,0.659183331,0.62300141,0.487773499,0.352698667,0.384998167,0.457254155,0.613311189,0.4191875,0.447022,0.522007978,0.585128571,0.726285361,0.500461449,0.43412,0.645730738,0.528583997
88,0.377033333,0.361723333,0.325175161,0.432407895,0.385875223,0.21406756,0.3916,0.422675048,0.422675048,0.333964974,0.454552694,0.491463738,0.488504828,0.391040854,0.269502,0.261756,0.276911345,0.522777532,0.270331667,0.276967333,0.445481954,0.396765357,0.621007028,0.403816232,0.350543333,0.513985452,0.440390748
89,0.335481905,0.139528333,0.234098602,0.284525,0.206511524,0.10873119,0.249022308,0.264180139,0.264180139,0.190423413,0.274864613,0.316530549,0.310969201,0.252133291,0.115210667,0.111467667,0.139719528,0.38124241,0.146779167,0.11373,0.310250669,0.295175893,0.468399359,0.339518768,0.146566667,0.344328006,0.271799306
90,0.197165238,0.007951667,0.151322258,0.090584737,0.044620273,0.01050506,0.07179,0.127826822,0.127826822,0.049818083,0.105547763,0.16692042,0.184997687,0.119372053,0.003359333,0.007708667,0.028390411,0.212674552,0.056599167,0.004217333,0.188495157,0.184604286,0.303385837,0.186163261,0.012208333,0.155240282,0.107012181
91,0.098546667,0,0.03737828,0.000772895,1.47E-05,0,0,0.01041757,0.01041757,0,0.003399763,0.054007192,0.047371642,0.009172844,0,0,0,0.049871643,0.000393333,0,0.077838851,0.036920714,0.103461962,0.041546812,0,0.022038307,0.002582155
92,0.010993333,0,0.000184946,0,0,0,0,0,0,0,0,8.66E-05,5.81E-05,0,0,0,0,0,0,0,0.002520392,0,0.001401539,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
