time_index,BR_AC_rooftop_pv,BR_AL_rooftop_pv,BR_AM_rooftop_pv,BR_AP_rooftop_pv,BR_BA_rooftop_pv,BR_CE_rooftop_pv,BR_ES_rooftop_pv,BR_GO_rooftop_pv,BR_DF_rooftop_pv,BR_MA_rooftop_pv,BR_MG_rooftop_pv,BR_MS_rooftop_pv,BR_MT_rooftop_pv,BR_PA_rooftop_pv,BR_PB_rooftop_pv,BR_PE_rooftop_pv,BR_PI_rooftop_pv,BR_PR_rooftop_pv,BR_RJ_rooftop_pv,BR_RN_rooftop_pv,BR_RO_rooftop_pv,BR_RR_rooftop_pv,BR_RS_rooftop_pv,BR_SC_rooftop_pv,BR_SE_rooftop_pv,BR_SP_rooftop_pv,BR_TO_rooftop_pv
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,0.004605,0.0,0.0,0.000762033,0.0,0.000793077,0.0,0.0,0.0,4.83e-5,0.0,0.0,0.0,0.002514667,0.0027565,0.0,0.0,0.001399167,0.001956667,0.0,0.0,0.0,0.0,0.004256667,0.0,0.0
79,0.0,0.140398333,0.0,0.0,0.05398967,0.066664762,0.036524615,0.024775756,0.024775756,0.01850613,0.067590998,0.007035256,0.001561569,0.001243405,0.104842,0.085876833,0.0397418,0.034088082,0.073391667,0.123545333,0.0,0.0,0.033283845,0.054671594,0.118591667,0.057373424,0.018094003
80,0.000537619,0.310778333,0.015251398,0.047567632,0.19667261,0.228699613,0.091036923,0.223134407,0.223134407,0.122431778,0.24359861,0.159530203,0.103089691,0.079821803,0.275119333,0.223706833,0.174332897,0.222562583,0.231404167,0.337703333,0.012664023,0.00520875,0.194634104,0.235899275,0.27429,0.269846398,0.179609155
81,0.065817619,0.448916667,0.118031505,0.151403421,0.339851702,0.411343869,0.145497692,0.429949797,0.429949797,0.229834918,0.412306529,0.37310527,0.289844417,0.240877196,0.457762,0.3889395,0.30385317,0.451506784,0.356651667,0.546947333,0.095248887,0.122520536,0.365763905,0.410303043,0.377833333,0.481763965,0.349613832
82,0.21203381,0.620666667,0.29294,0.294917632,0.474788235,0.583653899,0.253451538,0.600639043,0.600639043,0.333150054,0.57850116,0.552908839,0.470545695,0.422816341,0.617854,0.5387735,0.414101478,0.622729872,0.489980833,0.701250667,0.20607315,0.334454286,0.520349347,0.561391812,0.560388333,0.622831787,0.523191387
83,0.37396619,0.732675,0.481305376,0.362201842,0.578734157,0.640946101,0.340138462,0.701512539,0.701512539,0.442724039,0.65687612,0.674676004,0.612689083,0.542645487,0.680164,0.622612,0.480269844,0.736248926,0.553124167,0.720356667,0.331259875,0.51268125,0.640089161,0.696151159,0.662113333,0.724035557,0.642724794
84,0.467809524,0.781251667,0.550831398,0.471967632,0.612652013,0.664158601,0.279552308,0.754115334,0.754115334,0.50321021,0.709114533,0.716688391,0.642711941,0.563413063,0.719969333,0.6381355,0.530959227,0.763197423,0.5537925,0.784869333,0.400069812,0.640615536,0.662370253,0.676202681,0.764965,0.751334961,0.630506277
85,0.594350952,0.710583333,0.491623978,0.577323421,0.5839174,0.638814048,0.261370769,0.709565737,0.709565737,0.513579559,0.681722839,0.729758722,0.647937882,0.559828166,0.683085333,0.597627,0.484868595,0.768716215,0.572706667,0.728405333,0.489095282,0.664313571,0.743163697,0.688446087,0.678515,0.815135181,0.574834842
86,0.66316619,0.600436667,0.543964409,0.536068947,0.511508349,0.567534464,0.245226154,0.735492757,0.735492757,0.483734728,0.688627286,0.680399981,0.638575894,0.544742475,0.593177333,0.548249667,0.481158854,0.743629437,0.54616,0.632354,0.498856468,0.711480714,0.672932169,0.560604275,0.59655,0.737696924,0.541803065
87,0.7083,0.491733333,0.490313011,0.431103947,0.431725225,0.480574196,0.257623846,0.636990569,0.636990569,0.380258751,0.560821802,0.616137862,0.572352602,0.506386008,0.469493333,0.457483333,0.401442299,0.626807014,0.411085,0.485208667,0.488504645,0.7027,0.642561666,0.497558768,0.491971667,0.6554452,0.496906697
88,0.581962857,0.374931667,0.42616043,0.405723947,0.30020482,0.352328065,0.255331538,0.473802311,0.473802311,0.322279466,0.434720808,0.501740525,0.478208771,0.395231384,0.320336667,0.3222765,0.321727451,0.560452877,0.307964167,0.349086667,0.466680825,0.48201125,0.542773109,0.400810652,0.350431667,0.564476147,0.400654674
89,0.476944286,0.164965,0.344236989,0.252220263,0.162636971,0.178685625,0.160075385,0.347831081,0.347831081,0.177774445,0.30398157,0.37088777,0.340242282,0.270937398,0.130782667,0.142060333,0.17129426,0.380283836,0.20414,0.158249333,0.333186364,0.399419643,0.393117712,0.233871087,0.18186,0.402074595,0.267347452
