Time_Index,natgas_price_BR,natgas_LNG_price_BR,coal_price_BR,coal_price_imported,uranium_price_BR,gasoline_fossil_price_BR,diesel_fossil_price_BR,jetfuel_fossil_price_BR
199,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
200,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
201,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
202,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
203,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
204,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
205,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
206,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
207,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
208,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
209,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
210,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
211,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
212,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
213,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
214,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
215,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
216,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
217,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
218,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
219,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
220,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
221,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
222,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
223,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
224,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
225,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
226,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
227,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
228,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
229,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
230,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
231,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
232,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
233,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
234,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
235,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
236,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
237,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
238,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
239,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
240,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
241,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
242,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
243,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
244,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
245,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
246,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
247,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
248,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
249,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
250,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
251,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
252,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
253,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
254,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
255,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
256,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
257,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
258,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
259,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
