Time_Index,Amazonas_hydro_ror,Doce_hydro_ror,Grande_hydro_ror,Iguacu_hydro_ror,Jacui_capivari_hydro_ror,Jequitinhonha_hydro_ror,Paraiba_do_sul_hydro_ror,Parana_hydro_ror,Paranaiba_hydro_ror,Paranapanema_hydro_ror,Sao_francisco_hydro_ror,Tiete_hydro_ror,Tocantins_hydro_ror,Uruguai_hydro_ror
125,0.020478729,0.636363466,1.0,0.440723032,0.369502832,1.0,0.628115904,1.0,0.73446835,1.0,0.424775798,1.0,0.954397063,0.373068392
126,0.020478729,0.636363466,1.0,0.440723032,0.369502832,1.0,0.628115904,1.0,0.73446835,1.0,0.424775798,1.0,0.954397063,0.373068392
127,0.020478729,0.636363466,1.0,0.440723032,0.369502832,1.0,0.628115904,1.0,0.73446835,1.0,0.424775798,1.0,0.954397063,0.373068392
128,0.020478729,0.636363466,1.0,0.440723032,0.369502832,1.0,0.628115904,1.0,0.73446835,1.0,0.424775798,1.0,0.954397063,0.373068392
129,0.020478729,0.636363466,1.0,0.440723032,0.369502832,1.0,0.628115904,1.0,0.73446835,1.0,0.424775798,1.0,0.954397063,0.373068392
130,0.020478729,0.636363466,1.0,0.440723032,0.369502832,1.0,0.628115904,1.0,0.73446835,1.0,0.424775798,1.0,0.954397063,0.373068392
131,0.020478729,0.636363466,1.0,0.440723032,0.369502832,1.0,0.628115904,1.0,0.73446835,1.0,0.424775798,1.0,0.954397063,0.373068392
132,0.020478729,0.636363466,1.0,0.440723032,0.369502832,1.0,0.628115904,1.0,0.73446835,1.0,0.424775798,1.0,0.954397063,0.373068392
133,0.020478729,0.636363466,1.0,0.440723032,0.369502832,1.0,0.628115904,1.0,0.73446835,1.0,0.424775798,1.0,0.954397063,0.373068392
134,0.020478729,0.636363466,1.0,0.440723032,0.369502832,1.0,0.628115904,1.0,0.73446835,1.0,0.424775798,1.0,0.954397063,0.373068392
135,0.020478729,0.636363466,1.0,0.440723032,0.369502832,1.0,0.628115904,1.0,0.73446835,1.0,0.424775798,1.0,0.954397063,0.373068392
136,0.020478729,0.636363466,1.0,0.440723032,0.369502832,1.0,0.628115904,1.0,0.73446835,1.0,0.424775798,1.0,0.954397063,0.373068392
137,0.020478729,0.636363466,1.0,0.440723032,0.369502832,1.0,0.628115904,1.0,0.73446835,1.0,0.424775798,1.0,0.954397063,0.373068392
138,0.020478729,0.636363466,1.0,0.440723032,0.369502832,1.0,0.628115904,1.0,0.73446835,1.0,0.424775798,1.0,0.954397063,0.373068392
139,0.020478729,0.636363466,1.0,0.440723032,0.369502832,1.0,0.628115904,1.0,0.73446835,1.0,0.424775798,1.0,0.954397063,0.373068392
140,0.020478729,0.636363466,1.0,0.440723032,0.369502832,1.0,0.628115904,1.0,0.73446835,1.0,0.424775798,1.0,0.954397063,0.373068392
141,0.020478729,0.636363466,1.0,0.440723032,0.369502832,1.0,0.628115904,1.0,0.73446835,1.0,0.424775798,1.0,0.954397063,0.373068392
142,0.020478729,0.636363466,1.0,0.440723032,0.369502832,1.0,0.628115904,1.0,0.73446835,1.0,0.424775798,1.0,0.954397063,0.373068392
143,0.020478729,0.636363466,1.0,0.440723032,0.369502832,1.0,0.628115904,1.0,0.73446835,1.0,0.424775798,1.0,0.954397063,0.373068392
144,0.020478729,0.636363466,1.0,0.440723032,0.369502832,1.0,0.628115904,1.0,0.73446835,1.0,0.424775798,1.0,0.954397063,0.373068392
145,0.02529046,0.743006858,1.0,0.419856705,0.39972799,1.0,0.594960239,1.0,0.71842035,0.913418488,0.441164341,1.0,0.958399747,0.363617961
146,0.02529046,0.743006858,1.0,0.419856705,0.39972799,1.0,0.594960239,1.0,0.71842035,0.913418488,0.441164341,1.0,0.958399747,0.363617961
147,0.02529046,0.743006858,1.0,0.419856705,0.39972799,1.0,0.594960239,1.0,0.71842035,0.913418488,0.441164341,1.0,0.958399747,0.363617961
