elec_demand_SE,elec_demand_S,elec_demand_NE,elec_demand_N,elec_demand_MW
8042,2297,1096,1096,2297
7503,2143,1023,1023,2143
7232,2065,986,986,2065
7111,2031,969,969,2031
7117,2033,970,970,2033
7346,2098,1001,1001,2098
8087,2309,1102,1102,2309
9490,2710,1294,1294,2710
10273,2934,1401,1401,2934
10338,2952,1409,1409,2952
10396,2969,1418,1418,2969
10443,2982,1424,1424,2982
10416,2975,1420,1420,2975
10312,2945,1406,1406,2945
10256,2929,1398,1398,2929
10138,2895,1383,1383,2895
10122,2891,1380,1380,2891
10578,3021,1442,1442,3021
11573,3306,1578,1578,3306
11640,3325,1587,1587,3325
11375,3249,1551,1551,3249
10958,3130,1494,1494,3130
10211,2916,1392,1392,2916
9243,2639,1260,1260,2639
8385,2394,1143,1143,2394
7825,2235,1067,1067,2235
7539,2153,1028,1028,2153
7404,2114,1010,1010,2114
7398,2113,1009,1009,2113
7632,2180,1040,1040,2180
8343,2383,1137,1137,2383
9737,2780,1328,1328,2780
10482,2994,1429,1429,2994
10532,3008,1436,1436,3008
10500,2999,1432,1432,2999
10474,2991,1428,1428,2991
10405,2972,1418,1418,2972
10322,2948,1407,1407,2948
10314,2945,1406,1406,2945
10285,2937,1402,1402,2937
10364,2960,1413,1413,2960
10868,3104,1482,1482,3104
11660,3330,1590,1590,3330
11630,3321,1585,1585,3321
11361,3245,1549,1549,3245
10911,3116,1488,1488,3116
10191,2910,1389,1389,2910
9244,2640,1260,1260,2640
8396,2398,1145,1145,2398
7822,2234,1066,1066,2234
7494,2140,1021,1021,2140
7343,2097,1001,1001,2097
7289,2082,994,994,2082
7482,2137,1020,1020,2137
8142,2325,1110,1110,2325
9388,2681,1280,1280,2681
10233,2922,1395,1395,2922
10494,2997,1431,1431,2997
10665,3046,1454,1454,3046
10780,3079,1469,1469,3079
10817,3089,1474,1474,3089
10743,3068,1464,1464,3068
10657,3044,1453,1453,3044
10516,3003,1434,1434,3003
10468,2990,1427,1427,2990
10788,3081,1471,1471,3081
11254,3214,1535,1535,3214
11088,3167,1512,1512,3167
10715,3060,1461,1461,3060
10312,2945,1406,1406,2945
9767,2790,1332,1332,2790
9041,2582,1232,1232,2582
8305,2372,1132,1132,2372
7713,2203,1051,1051,2203
7356,2101,1003,1003,2101
7174,2048,978,978,2048
7106,2029,969,969,2029
7170,2048,978,978,2048
7470,2134,1019,1019,2134
7989,2282,1089,1089,2282
8543,2439,1165,1165,2439
9129,2607,1245,1245,2607
9504,2715,1296,1296,2715
9671,2762,1318,1318,2762
9578,2735,1306,1306,2735
9397,2684,1281,1281,2684
9152,2614,1247,1247,2614
9002,2571,1227,1227,2571
9005,2572,1227,1227,2572
9435,2694,1287,1287,2694
10341,2953,1410,1410,2953
10416,2975,1420,1420,2975
10112,2888,1378,1378,2888
9802,2800,1337,1337,2800
9331,2665,1272,1272,2665
8730,2493,1190,1190,2493
8088,2310,1103,1103,2310
7567,2161,1031,1031,2161
7254,2072,989,989,2072
7088,2024,966,966,2024
7034,2008,959,959,2008
7101,2028,968,968,2028
7312,2089,997,997,2089
7699,2199,1050,1050,2199
