time_index,res_basin_N,ror_basin_N,res_basin_NE,ror_basin_NE,res_basin_S,ror_basin_S,res_basin_SE,ror_basin_SE
171,0.359492888,0.055448522,0.3163981,0.271809303,1,1,0.626035425,0.908392076
172,0.359492888,0.055448522,0.3163981,0.271809303,1,1,0.626035425,0.908392076
173,0.359492888,0.055448522,0.3163981,0.271809303,1,1,0.626035425,0.908392076
174,0.359492888,0.055448522,0.3163981,0.271809303,1,1,0.626035425,0.908392076
175,0.359492888,0.055448522,0.3163981,0.271809303,1,1,0.626035425,0.908392076
176,0.359492888,0.055448522,0.3163981,0.271809303,1,1,0.626035425,0.908392076
177,0.359492888,0.055448522,0.3163981,0.271809303,1,1,0.626035425,0.908392076
178,0.359492888,0.055448522,0.3163981,0.271809303,1,1,0.626035425,0.908392076
179,0.359492888,0.055448522,0.3163981,0.271809303,1,1,0.626035425,0.908392076
180,0.359492888,0.055448522,0.3163981,0.271809303,1,1,0.626035425,0.908392076
181,0.359492888,0.055448522,0.3163981,0.271809303,1,1,0.626035425,0.908392076
182,0.359492888,0.055448522,0.3163981,0.271809303,1,1,0.626035425,0.908392076
183,0.359492888,0.055448522,0.3163981,0.271809303,1,1,0.626035425,0.908392076
184,0.359492888,0.055448522,0.3163981,0.271809303,1,1,0.626035425,0.908392076
185,0.359492888,0.055448522,0.3163981,0.271809303,1,1,0.626035425,0.908392076
186,0.359492888,0.055448522,0.3163981,0.271809303,1,1,0.626035425,0.908392076
187,0.359492888,0.055448522,0.3163981,0.271809303,1,1,0.626035425,0.908392076
188,0.359492888,0.055448522,0.3163981,0.271809303,1,1,0.626035425,0.908392076
189,0.359492888,0.055448522,0.3163981,0.271809303,1,1,0.626035425,0.908392076
190,0.359492888,0.055448522,0.3163981,0.271809303,1,1,0.626035425,0.908392076
191,0.359492888,0.055448522,0.3163981,0.271809303,1,1,0.626035425,0.908392076
192,0.359492888,0.055448522,0.3163981,0.271809303,1,1,0.626035425,0.908392076
193,0.397239965,0.060283935,0.306950891,0.260459575,1,1,0.668295723,0.963077142
194,0.397239965,0.060283935,0.306950891,0.260459575,1,1,0.668295723,0.963077142
195,0.397239965,0.060283935,0.306950891,0.260459575,1,1,0.668295723,0.963077142
196,0.397239965,0.060283935,0.306950891,0.260459575,1,1,0.668295723,0.963077142
197,0.397239965,0.060283935,0.306950891,0.260459575,1,1,0.668295723,0.963077142
198,0.397239965,0.060283935,0.306950891,0.260459575,1,1,0.668295723,0.963077142
199,0.397239965,0.060283935,0.306950891,0.260459575,1,1,0.668295723,0.963077142
200,0.397239965,0.060283935,0.306950891,0.260459575,1,1,0.668295723,0.963077142
201,0.397239965,0.060283935,0.306950891,0.260459575,1,1,0.668295723,0.963077142
202,0.397239965,0.060283935,0.306950891,0.260459575,1,1,0.668295723,0.963077142
