Time_Index;elec_demand_SE;elec_demand_S;elec_demand_NE;elec_demand_N;Demand_Zero
441;16752.02;3344.301;9147.699;2155.736;0
442;19253.467;4741.803;10143.045;2447.107;0
443;20379.217;5439.681;10875.679;2728.661;0
444;20575.51;5819.504;11822.559;2868.944;0
445;20259.804;5959.405;12294.93;2935.405;0
446;19533.266;5765.339;11879.279;2875.134;0
447;17505.773;5164.1;10748.919;2611.272;0
448;15809.089;4596.495;7870.913;2350.444;0
449;12133.076;3811.61;6320.403;2118.104;0
450;7657.741;2846.07;4086.129;1829.592;0
451;3603.702;2100.046;3682.488;1667.483;0
452;2985.785;1491.791;3846.1;1690.246;0
453;2984.813;1356.288;3775.354;1693.109;0
454;2967.829;1249.154;3752.413;1669.802;0
455;2963.855;994.175;3408.393;1645.145;0
456;2983.62;1314.698;3066.212;1635.061;0
457;2989.946;1316.177;2787.352;1675.965;0
458;2990.985;1301.717;2369.181;1690.295;0
459;2990.378;1361.694;2117.676;1640.03;0
460;2987.434;1306.767;2087.548;1632.617;0
461;2992.62;1394.148;1968.966;1574.546;0
462;3218.748;1537.699;2376.753;1567.602;0
463;6471.346;1841.547;4208.864;1639.53;0
464;12486.136;2516.553;6806.495;1927.844;0
465;16611.58;3344.114;8494.926;2254.035;0
466;19243.152;4336.663;9944.798;2741.973;0
467;20729.587;5138.461;10624.514;2925.124;0
468;21554.932;5232.307;11130.729;3066.48;0
469;21313.898;4894.454;11301.939;3113.382;0
470;20910.265;5103.11;11902.482;2976.265;0
471;19442.628;4943.773;10702.9;2787.777;0
472;17635.305;4105.211;9660.982;2649.719;0
473;13477.534;3235.391;6371.559;2281.285;0
474;8430.298;2389.64;4345.1;1923.852;0
475;5164.717;1554.612;4238.459;1710.769;0
476;4902.959;1164.78;4583.529;1682.257;0
477;4578.29;1208.263;4932.496;1678.76;0
478;4581.697;1270.722;5228.954;1683.671;0
479;4118.052;1348.783;4800.478;1696.76;0
480;2994.509;1285.318;3862.931;1712.387;0
481;2986.946;1085.986;3236.513;1677.545;0
482;2994.649;1112.443;2807.218;1648.824;0
483;3009.713;1094.42;2561.374;1629.323;0
484;2986.888;1027.43;2498.349;1606.545;0
