Time_Index,natgas_price_BR,natgas_LNG_price_BR,coal_price_BR,coal_price_imported,uranium_price_BR,gasoline_fossil_price_BR,diesel_fossil_price_BR,jetfuel_fossil_price_BR,aviationgasoline_price_BR,heavyfueloil_price_BR
197,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
198,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
199,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
200,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
201,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
202,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
203,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
204,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
205,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
206,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
207,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
208,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
209,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
210,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
211,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
212,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
213,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
214,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
215,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
216,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
217,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
218,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
219,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
220,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
221,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
222,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
223,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
224,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
225,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
226,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
227,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
228,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
229,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
230,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
231,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
232,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
233,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
234,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
235,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
236,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
237,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
238,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
239,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
240,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
241,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
242,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
243,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
244,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
245,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
246,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
247,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
248,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
249,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
250,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
251,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
252,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
253,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
254,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
255,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
256,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
257,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
258,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
259,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
260,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
261,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
262,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
263,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
264,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
265,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
266,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
267,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
268,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
269,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
270,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
271,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
272,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
273,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
274,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
275,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
276,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
277,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
278,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
279,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
280,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
281,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
282,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
283,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
284,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
285,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
286,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
287,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
288,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
289,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
