Time_Index,natgas_price_BR,coal_price_BR,coal_price_imported,uranium_price_BR,gasoline_fossil_price_BR,diesel_fossil_price_BR,jetfuel_fossil_price_BR
189,26.1,12.58,17.41,4.535,22.67,33.81,55.67
190,26.1,12.58,17.41,4.535,22.67,33.81,55.67
191,26.1,12.58,17.41,4.535,22.67,33.81,55.67
192,26.1,12.58,17.41,4.535,22.67,33.81,55.67
193,26.1,12.58,17.41,4.535,22.67,33.81,55.67
194,26.1,12.58,17.41,4.535,22.67,33.81,55.67
195,26.1,12.58,17.41,4.535,22.67,33.81,55.67
196,26.1,12.58,17.41,4.535,22.67,33.81,55.67
197,26.1,12.58,17.41,4.535,22.67,33.81,55.67
198,26.1,12.58,17.41,4.535,22.67,33.81,55.67
199,26.1,12.58,17.41,4.535,22.67,33.81,55.67
200,26.1,12.58,17.41,4.535,22.67,33.81,55.67
201,26.1,12.58,17.41,4.535,22.67,33.81,55.67
202,26.1,12.58,17.41,4.535,22.67,33.81,55.67
203,26.1,12.58,17.41,4.535,22.67,33.81,55.67
204,26.1,12.58,17.41,4.535,22.67,33.81,55.67
205,26.1,12.58,17.41,4.535,22.67,33.81,55.67
206,26.1,12.58,17.41,4.535,22.67,33.81,55.67
207,26.1,12.58,17.41,4.535,22.67,33.81,55.67
208,26.1,12.58,17.41,4.535,22.67,33.81,55.67
209,26.1,12.58,17.41,4.535,22.67,33.81,55.67
210,26.1,12.58,17.41,4.535,22.67,33.81,55.67
211,26.1,12.58,17.41,4.535,22.67,33.81,55.67
212,26.1,12.58,17.41,4.535,22.67,33.81,55.67
213,26.1,12.58,17.41,4.535,22.67,33.81,55.67
214,26.1,12.58,17.41,4.535,22.67,33.81,55.67
215,26.1,12.58,17.41,4.535,22.67,33.81,55.67
216,26.1,12.58,17.41,4.535,22.67,33.81,55.67
217,26.1,12.58,17.41,4.535,22.67,33.81,55.67
218,26.1,12.58,17.41,4.535,22.67,33.81,55.67
219,26.1,12.58,17.41,4.535,22.67,33.81,55.67
220,26.1,12.58,17.41,4.535,22.67,33.81,55.67
221,26.1,12.58,17.41,4.535,22.67,33.81,55.67
222,26.1,12.58,17.41,4.535,22.67,33.81,55.67
223,26.1,12.58,17.41,4.535,22.67,33.81,55.67
224,26.1,12.58,17.41,4.535,22.67,33.81,55.67
225,26.1,12.58,17.41,4.535,22.67,33.81,55.67
226,26.1,12.58,17.41,4.535,22.67,33.81,55.67
227,26.1,12.58,17.41,4.535,22.67,33.81,55.67
228,26.1,12.58,17.41,4.535,22.67,33.81,55.67
229,26.1,12.58,17.41,4.535,22.67,33.81,55.67
230,26.1,12.58,17.41,4.535,22.67,33.81,55.67
231,26.1,12.58,17.41,4.535,22.67,33.81,55.67
232,26.1,12.58,17.41,4.535,22.67,33.81,55.67
233,26.1,12.58,17.41,4.535,22.67,33.81,55.67
234,26.1,12.58,17.41,4.535,22.67,33.81,55.67
235,26.1,12.58,17.41,4.535,22.67,33.81,55.67
236,26.1,12.58,17.41,4.535,22.67,33.81,55.67
237,26.1,12.58,17.41,4.535,22.67,33.81,55.67
238,26.1,12.58,17.41,4.535,22.67,33.81,55.67
239,26.1,12.58,17.41,4.535,22.67,33.81,55.67
240,26.1,12.58,17.41,4.535,22.67,33.81,55.67
241,26.1,12.58,17.41,4.535,22.67,33.81,55.67
242,26.1,12.58,17.41,4.535,22.67,33.81,55.67
243,26.1,12.58,17.41,4.535,22.67,33.81,55.67
244,26.1,12.58,17.41,4.535,22.67,33.81,55.67
245,26.1,12.58,17.41,4.535,22.67,33.81,55.67
246,26.1,12.58,17.41,4.535,22.67,33.81,55.67
247,26.1,12.58,17.41,4.535,22.67,33.81,55.67
248,26.1,12.58,17.41,4.535,22.67,33.81,55.67
249,26.1,12.58,17.41,4.535,22.67,33.81,55.67
250,26.1,12.58,17.41,4.535,22.67,33.81,55.67
251,26.1,12.58,17.41,4.535,22.67,33.81,55.67
252,26.1,12.58,17.41,4.535,22.67,33.81,55.67
253,26.1,12.58,17.41,4.535,22.67,33.81,55.67
254,26.1,12.58,17.41,4.535,22.67,33.81,55.67
255,26.1,12.58,17.41,4.535,22.67,33.81,55.67
256,26.1,12.58,17.41,4.535,22.67,33.81,55.67
257,26.1,12.58,17.41,4.535,22.67,33.81,55.67
258,26.1,12.58,17.41,4.535,22.67,33.81,55.67
259,26.1,12.58,17.41,4.535,22.67,33.81,55.67
260,26.1,12.58,17.41,4.535,22.67,33.81,55.67
261,26.1,12.58,17.41,4.535,22.67,33.81,55.67
262,26.1,12.58,17.41,4.535,22.67,33.81,55.67
263,26.1,12.58,17.41,4.535,22.67,33.81,55.67
