Type,id,location,edges--edge--constraints--MaxCapacityConstraint,edges--edge--constraints--CapacityConstraint,edges--edge--can_retire,edges--edge--unidirectional,edges--edge--commodity,edges--edge--can_expand,edges--edge--has_capacity,transforms--timedata,edges--edge--lifetime,edges--edge--wacc,edges--edge--capital_recovery_period,edges--edge--max_capacity,edges--edge--fixed_om_cost_25-A,edges--edge--fixed_om_cost_25-B,edges--edge--fixed_om_cost_25-C,edges--edge--variable_om_cost,edges--edge--investment_cost_25-A,edges--edge--investment_cost_25-B,edges--edge--investment_cost_25-C,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--header,edges--edge--end_vertex,edges--edge--existing_capacity,edges--edge--capacity_size,Note
VRE,BR_PA_Solar_Class2,BR_PA,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,1852986.976,10399.89,11494,9964.23,0,856704.9816,831992.3379,807279.6942,system/availability_solar.csv,BR_PA_Solar_Class2,elec_BR_PA,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_PA_Solar_Class3,BR_PA,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,1610569.459,10399.89,11494,9964.23,0,996168.5864,967432.9541,938697.3218,system/availability_solar.csv,BR_PA_Solar_Class3,elec_BR_PA,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_PB_Solar_Class0,BR_PB,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,534740.064,10689.6525,11171,12257.2605,0,865093.7672,840139.143553,815184.5114,system/availability_solar.csv,BR_PB_Solar_Class0,elec_BR_PB,720.58,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_PB_Solar_Class1,BR_PB,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,733683.953,10399.89,13856.082192,9964.23,0,757088.124,735249.0435,713409.963,system/availability_solar.csv,BR_PB_Solar_Class1,elec_BR_PB,559.3756,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_PE_Solar_Class0,BR_PE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,1001196.893,10689.6525,11171,12257.2605,0,865093.7672,840139.143553,815184.5114,system/availability_solar.csv,BR_PE_Solar_Class0,elec_BR_PE,1275.77818,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_PE_Solar_Class1,BR_PE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,750776.602,10399.89,13856.082192,9964.23,0,757088.124,735249.0435,713409.963,system/availability_solar.csv,BR_PE_Solar_Class1,elec_BR_PE,164.049,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_PE_Solar_Class3,BR_PE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,322371.064,10399.89,11494,9964.23,0,996168.5864,967432.9541,938697.3218,system/availability_solar.csv,BR_PE_Solar_Class3,elec_BR_PE,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_PI_Solar_Class0,BR_PI,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,4462156.059,10689.6525,11171,12257.2605,0,865093.7672,840139.143553,815184.5114,system/availability_solar.csv,BR_PI_Solar_Class0,elec_BR_PI,2417.755,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_PI_Solar_Class1,BR_PI,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,1610351.686,10399.89,13856.082192,9964.23,0,757088.124,735249.0435,713409.963,system/availability_solar.csv,BR_PI_Solar_Class1,elec_BR_PI,421,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_PR_Solar_Class0,BR_PR,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,188733.8,10689.6525,11171,12257.2605,0,865093.7672,840139.143553,815184.5114,system/availability_solar.csv,BR_PR_Solar_Class0,elec_BR_PR,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_PR_Solar_Class1,BR_PR,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,141786.353,10399.89,13856.082192,9964.23,0,757088.124,735249.0435,713409.963,system/availability_solar.csv,BR_PR_Solar_Class1,elec_BR_PR,0.558,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_PR_Solar_Class3,BR_PR,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,1259182.487,10399.89,11494,9964.23,0,996168.5864,967432.9541,938697.3218,system/availability_solar.csv,BR_PR_Solar_Class3,elec_BR_PR,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_RJ_Solar_Class1,BR_RJ,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,14443.59,10399.89,13856.082192,9964.23,0,757088.124,735249.0435,713409.963,system/availability_solar.csv,BR_RJ_Solar_Class1,elec_BR_RJ,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_RJ_Solar_Class3,BR_RJ,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,32597.947,10399.89,11494,9964.23,0,996168.5864,967432.9541,938697.3218,system/availability_solar.csv,BR_RJ_Solar_Class3,elec_BR_RJ,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_RN_Solar_Class0,BR_RN,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,354291.788,10689.6525,11171,12257.2605,0,865093.7672,840139.143553,815184.5114,system/availability_solar.csv,BR_RN_Solar_Class0,elec_BR_RN,392.715,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_RN_Solar_Class1,BR_RN,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,864180.825,10399.89,13856.082192,9964.23,0,757088.124,735249.0435,713409.963,system/availability_solar.csv,BR_RN_Solar_Class1,elec_BR_RN,987.46065,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_RO_Solar_Class1,BR_RO,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,171984.166,10399.89,13856.082192,9964.23,0,757088.124,735249.0435,713409.963,system/availability_solar.csv,BR_RO_Solar_Class1,elec_BR_RO,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_RO_Solar_Class2,BR_RO,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,172778.239,10399.89,11494,9964.23,0,856704.9816,831992.3379,807279.6942,system/availability_solar.csv,BR_RO_Solar_Class2,elec_BR_RO,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_RO_Solar_Class3,BR_RO,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,1876366.183,10399.89,11494,9964.23,0,996168.5864,967432.9541,938697.3218,system/availability_solar.csv,BR_RO_Solar_Class3,elec_BR_RO,13.75,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_RR_Solar_Class2,BR_RR,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,382615.161,10399.89,11494,9964.23,0,856704.9816,831992.3379,807279.6942,system/availability_solar.csv,BR_RR_Solar_Class2,elec_BR_RR,0.36,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_RS_Solar_Class1,BR_RS,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,212025,10399.89,13856.082192,9964.23,0,757088.124,735249.0435,713409.963,system/availability_solar.csv,BR_RS_Solar_Class1,elec_BR_RS,0.6,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
